,open,close,high,low,volume,money,RSI,MFI,TSI,UO,AO,MACDDI,VIP,VIN,TRIX,MI,CCI,DPO,ARU,ARD,BBH,BBL,BBM,CMF,DR,DLR
2015-05-18,2.29,2.49,2.49,2.29,25732.0,63372.0,100.0,,,,0.0,,,,,0.0,,11.753273381294962,4.0,4.0,2.49,2.49,2.49,1.0,-82.5180635564434,
2015-05-19,2.74,2.74,2.74,2.74,18380.0,50385.0,100.0,,100.0,,0.0,,,,,0.0,66.66666666666657,11.628273381294962,8.0,4.0,2.865,2.365,2.615,0.5833333333333334,10.040160642570273,9.567520992336254
2015-05-20,3.02,3.02,3.02,3.02,14704.0,44340.0,100.0,,100.0,,0.0,,,,,0.0,95.98540145985397,11.493273381294962,12.0,4.0,3.1829742101634535,2.3170257898365465,2.75,0.4375,10.21897810218977,9.729891098679943
2015-05-21,3.32,3.32,3.32,3.32,30633.0,101625.0,100.0,,100.0,,0.0,,,,,0.0,100.66100094428703,11.350773381294962,16.0,4.0,3.5123991853519407,2.2726008146480594,2.8925,0.28767230488881934,9.93377483443707,9.47079515416187
2015-05-22,3.65,3.65,3.65,3.65,22056.0,80496.0,100.0,,100.0,,0.0,,,,,0.0,113.5974565908535,11.199273381294962,20.0,4.0,3.8653744578448976,2.2226255421551024,3.044,0.2307699206313618,9.93975903614459,9.476238466600307
2015-05-25,4.01,4.01,4.01,4.01,34309.0,137732.0,100.0,,100.0,,0.14300000000000024,,,,,0.0,116.72626142232816,11.038273381294962,24.0,4.0,4.244535152524114,2.165464847475886,3.205,0.17647139506494575,9.86301369863014,9.406407372407767
2015-05-26,4.42,4.42,4.42,4.42,20830.0,91987.0,100.0,,100.0,,0.3054285714285716,,,,,0.0,124.29801271220526,10.864701952723534,28.000000000000004,4.0,4.662824566566029,2.094318290576828,3.3785714285714286,0.15441300016802284,10.224438902743138,9.734845477112897
2015-05-27,4.86,4.86,4.86,4.86,71068.0,345216.0,100.0,,100.0,,0.48825000000000074,,,,,0.0,127.97874514612714,10.679523381294963,32.0,4.0,5.114006027241952,2.013493972758048,3.5637499999999998,0.10824863700612505,9.954751131221728,9.489874182279578
2015-05-28,5.34,5.34,5.34,5.34,82096.0,438649.0,100.0,,100.0,,0.6948888888888898,,,,,0.0,131.6361028583137,10.482162270183851,36.0,4.0,5.6003245769272745,1.9218976452949466,3.7611111111111106,0.08046077646587953,9.876543209876543,9.418721505970096
2015-05-29,5.88,5.88,5.88,5.88,177671.0,1044290.0,100.0,,100.0,,0.9290000000000003,,,,,0.0,136.34960218501365,10.270273381294963,40.0,4.0,6.131871001241158,1.814128998758842,3.973,0.05172479642356763,10.1123595505618,9.633110893843199
2015-06-01,6.47,6.47,6.47,6.47,37985.0,245582.0,100.0,,100.0,,1.1940000000000008,,,,,0.0,139.0855680689527,10.043273381294963,44.0,4.0,6.709617862978707,1.6903821370212913,4.199999999999999,0.048055518204771934,10.034013605442183,9.561934660227367
