,open,close,high,low,volume,money,RSI,MFI,TSI,UO,AO,MACDDI,VIP,VIN,TRIX,MI,CCI,DPO,ARU,ARD,BBH,BBL,BBM,CMF,DR,DLR
2008-05-12,2.1,2.26,2.32,2.1,244678900.0,541669796.0,100.0,,,,0.0,,,,,0.0,,7.756269841269832,4.0,4.0,2.26,2.26,2.26,0.4545454545454534,-77.43671011449624,
2008-05-13,2.27,2.48,2.48,2.26,67149429.0,159771423.0,100.0,,100.0,,0.0,,,,,0.0,66.66666666666683,7.646269841269832,8.0,4.0,2.5900000000000003,2.15,2.37,0.5720041902228247,9.734513274336297,9.289374689269636
2008-05-14,2.55,2.53,2.6,2.4,66127040.0,164265609.0,100.0,,100.0,,0.0,,,,,0.0,83.45323741007195,7.592936507936498,12.0,4.0,2.657901494476789,2.1887651721898775,2.4233333333333333,0.5244143596705498,2.0161290322580516,1.9960742562537992
2008-05-15,2.49,2.53,2.67,2.49,62281280.0,160713642.0,100.0,,100.0,,0.0,,,,,0.0,82.82828282828295,7.566269841269833,12.0,4.0,2.6731591360442137,2.2268408639557857,2.4499999999999997,0.3716285595002111,0.0,0.0
2008-05-16,2.49,2.45,2.63,2.43,46723888.0,117697746.0,73.26708558624395,,99.16160556432294,,0.0,,,,,0.0,40.780141843971876,7.566269841269832,12.0,4.0,2.6495995991979946,2.2504004008020058,2.45,0.259210740329601,-3.162055335968361,-3.2131278182793044
2008-05-19,2.49,2.7,2.7,2.46,36356524.0,94316537.0,85.92756673379665,,98.4847098296173,,0.04783333333333317,,,,,0.0,95.69892473118306,7.524603174603165,24.0,4.0,2.752285588125225,2.2310477452081083,2.4916666666666667,0.31067575935016206,10.20408163265305,9.716374845364772
2008-05-20,2.75,2.72,2.84,2.62,45008177.0,123501299.0,86.47923723976854,,97.9303971372636,,0.07199999999999962,,,,,0.0,131.5724815724818,7.491984126984118,28.000000000000004,4.0,2.813690451705156,2.234880976866272,2.524285714285714,0.27887248753947597,0.7407407407407307,0.7380107297622507
2008-05-21,2.73,2.74,2.75,2.59,36640734.0,98212404.0,87.02693122533805,,97.4715010971701,,0.08550000000000013,,,,,0.0,90.36004645760745,7.465019841269832,32.0,4.0,2.8572626631366744,2.2452373368633247,2.5512499999999996,0.3149779060672933,0.7352941176470562,0.7326040092072938
2008-05-22,2.68,2.66,2.77,2.61,30891286.0,83469083.0,74.09735832998436,,96.17667053387126,,0.09433333333333316,,,,,0.0,72.85714285714276,7.452936507936499,32.0,4.0,2.859831412772494,2.266835253894172,2.563333333333333,0.2814573248962189,-2.919708029197088,-2.9631797606371135
2008-05-23,2.61,2.78,2.8,2.61,31578535.0,86204255.0,79.11072825584449,,95.11861784179915,,0.12550000000000017,,,,,0.0,88.17204301075274,7.431269841269832,40.0,4.0,2.8948709408770044,2.2751290591229956,2.585,0.30549321351866116,4.5112781954887105,4.412480490893778
2008-05-26,2.75,2.69,2.81,2.67,14403841.0,39240215.0,68.41558331168362,,93.16164502472782,,0.12372727272727291,,,,,0.0,75.83990651475315,7.421724386724378,40.0,4.0,2.8961006521297152,2.2929902569611933,2.5945454545454543,0.2839504154781989,-3.237410071942437,-3.2909734088797826
2008-05-27,2.67,2.57,2.72,2.55,13470899.0,35070272.0,57.29363035115942,,90.07234524543043,,0.09566666666666679,,,,,0.0,17.172115005907756,-0.3325,40.0,4.0,2.8815357532670767,2.303464246732923,2.5925,0.2636338196503643,-4.460966542750933,-4.563529470661932
2008-05-28,2.57,2.61,2.66,2.49,12072179.0,31234460.0,59.64840911310455,,87.50869282294077,,0.07353846153846133,,,,,0.0,2.0440251572324803,-0.11384615384615371,40.0,4.0,2.8716992928673015,2.315993014825006,2.5938461538461537,0.2661618183470884,1.5564202334630295,1.5444322427473622
