,open,close,high,low,volume,money,RSI,MFI,TSI,UO,AO,MACDDI,VIP,VIN,TRIX,MI,CCI,DPO,ARU,ARD,BBH,BBL,BBM,CMF,DR,DLR
2007-01-04,9.16,8.96,9.4,8.95,51389498.0,473273375.0,100.0,,,,0.0,,,,,0.0,,4.8060075566750395,4.0,4.0,8.96,8.96,8.96,-0.9555555555555487,-34.91213801015706,
2007-01-05,8.95,9.07,9.1,8.8,24146408.0,214990362.0,100.0,,100.0,,0.0,,,,,0.0,-66.66666666666667,4.75100755667504,8.0,4.0,9.125,8.905000000000001,9.015,-0.394360715169163,1.2276785714285587,1.220203714020629
2007-01-08,9.1,9.33,9.39,9.04,49463541.0,455704372.0,100.0,,100.0,,0.0,,,,,0.0,100.00000000000131,4.646007556675041,12.0,4.0,9.430268700752535,8.809731299247463,9.12,0.021729846101096073,2.866593164277842,2.82627507322073
2007-01-09,9.33,9.38,9.42,9.15,47281955.0,440126672.0,100.0,,100.0,,0.0,,,,,0.0,84.38228438228516,4.58100755667504,16.0,4.0,9.535570962859161,8.83442903714084,9.185,0.20889489625748603,0.5359056806002238,0.5344748158880641
2007-01-10,9.38,9.69,9.88,9.29,46290532.0,442980765.0,100.0,,100.0,,0.0,,,,,0.0,143.04461942257203,4.480007556675041,20.0,4.0,9.797405905323744,8.774594094676255,9.286,0.24003537731761837,3.304904051172697,3.251466288454141
2007-01-11,9.76,9.65,9.96,9.57,39841683.0,389377707.0,93.94784156723439,,99.24364787622297,,0.05116666666666703,,,,,0.0,115.7635467980301,4.419340890008375,20.0,4.0,9.886625512835108,8.806707820498223,9.346666666666666,0.11210175311653726,-0.41279669762640525,-0.41365105517798817
2007-01-12,9.57,9.15,9.75,8.98,32997720.0,309110805.0,51.770064293320644,,89.66473059251841,,0.12214285714285822,,,,,0.0,-12.102351313968688,4.447436128103611,20.0,4.0,9.837077918011857,8.800064939131001,9.31857142857143,0.03617333979380232,-5.181347150259064,-5.320403606346469
2007-01-15,9.1,9.52,9.56,9.05,35130332.0,325699691.0,64.4787691020276,,83.1283795626813,,0.14537500000000136,,,,,0.0,15.467904098995039,4.42225755667504,20.0,4.0,9.84673484072584,8.84076515927416,9.34375,0.12298893774362873,4.043715846994522,3.964096951584395
2007-01-16,9.53,10.01,10.27,9.46,58556429.0,577820461.0,74.18151086598783,,79.22769987673752,,0.2167777777777804,,,,,0.0,145.18828451882843,4.348229778897261,36.0,4.0,10.050428482021635,8.785127073533923,9.41777777777778,0.15872750537213684,5.147058823529416,5.018974452385505
2007-01-17,9.99,9.73,10.03,9.31,48770797.0,476343141.0,63.506437850809675,,72.7713972130625,,0.20050000000000345,,,,,0.0,70.53009883198577,4.317007556675039,36.0,4.0,10.07774160034151,8.820258399658494,9.449000000000002,0.1596199390734416,-2.7972027972027913,-2.837069712921547
2007-01-18,9.74,10.35,10.62,9.61,79848054.0,817578468.0,72.8300206124648,,69.51437479790546,,0.252636363636368,,,,,0.0,154.17735434225003,4.235098465765949,44.0,4.0,10.323210894996606,8.738607286821576,9.530909090909091,0.2071396359816897,6.372045220966083,6.177262351346435
2007-01-19,10.36,10.97,11.02,10.36,48146626.0,519065206.0,78.69252567055217,,68.53396309634248,,0.4492500000000028,,,,,0.0,205.22496371553012,-0.6908333333333321,48.0,4.0,10.750028746149251,8.551637920517415,9.650833333333333,0.2620971193588249,5.990338164251208,5.817775457576113
2007-01-22,11.11,10.97,11.55,10.94,61198085.0,690485350.0,78.69252567055217,,67.86226226197245,,0.6777692307692362,,,,,0.0,196.6457705772207,-0.6823076923076918,48.0,4.0,11.020987292913803,8.483628091701581,9.752307692307692,0.14779311448989346,0.0,0.0
2007-01-23,10.99,10.98,11.27,10.54,43271491.0,468785066.0,78.7781809636703,76.01522604686714,67.39336464441162,,0.7854285714285751,,0.7420687384367676,0.46628379375457474,,0.0,133.23215767215046,-0.5099999999999998,56.00000000000001,4.0,11.216392801077202,8.463607198922798,9.84,0.15153924933702898,0.09115770282588365,0.09111617942454409
2007-01-24,10.91,10.73,10.91,10.5,47250630.0,505385782.0,71.08469720055918,70.21317592245967,64.68389378574913,,0.9163333333333377,,1.1790499390986602,0.8063337393422656,,0.0,94.40959776981273,-0.5193333333333321,56.00000000000001,4.0,11.301226656268032,8.497440010398634,9.899333333333333,0.14958004974910824,-2.2768670309653904,-2.303187943877738
2007-01-25,10.64,10.0,10.64,9.99,38905187.0,399470608.0,54.383377071944906,68.35643173918547,56.25519408571158,,0.8646250000000073,,1.1179190751445085,0.8023121387283236,,0.0,36.472132712734215,-0.2156249999999993,56.00000000000001,4.0,11.263876978647556,8.547373021352442,9.905624999999999,0.09173528925285163,-6.803355079217155,-7.045846364856123
2007-01-26,10.0,10.17,10.19,9.45,41425756.0,405668796.0,56.921684055178524,62.05728455764175,50.5248347698671,,0.6933529411764745,,1.0265486725663717,0.8926991150442479,,1.0316979092719978,5.129494593915078,-0.2711764705882338,56.00000000000001,4.0,11.244734640210448,8.59761830096602,9.921176470588234,0.13630723277152093,1.6999999999999904,1.6857117066422678
2007-01-29,10.17,10.65,10.65,9.8,50680502.0,515084440.0,63.15570508791463,62.527356243561684,47.50748573373004,,0.5378888888888937,,1.04989604989605,0.8544698544698545,,2.106858217571225,54.37923250564315,-0.8116666666666656,56.00000000000001,4.0,11.290563452224772,8.63276988110856,9.961666666666666,0.18813369551890627,4.71976401179941,4.611768209496558
2007-01-30,10.6,10.31,10.7,10.27,28932500.0,302836829.0,56.877019455074816,61.72484535525851,42.90229852856966,,0.3915789473684228,,1.0856236786469344,0.8953488372093025,,3.1023284220399816,58.407288678926776,-0.4599999999999991,56.00000000000001,4.0,11.282774367506352,8.677225632493645,9.979999999999999,0.15494312058353643,-3.1924882629107976,-3.2445594126565336
2007-01-31,10.86,9.94,10.88,9.77,38390103.0,392838130.0,50.941785972098856,55.914542542446156,37.07082545694349,,0.2942500000000017,,1.0029469548133594,0.8929273084479371,,4.213723613897165,29.6083453057653,0.032000000000001805,56.00000000000001,4.0,11.247907083215145,8.708092916784851,9.977999999999998,0.11921703466478557,-3.5887487875848834,-3.654727736038632
2007-02-01,9.78,9.9,10.1,9.66,18340391.0,181059001.0,50.33031815426805,56.97861171682272,32.44538357450344,,0.23590476190476295,,1.051776649746193,0.9472081218274112,,5.23186487272785,-15.00406871105491,-0.29499999999999815,56.00000000000001,4.0,11.207277463203964,8.842722536796034,10.024999999999999,0.18147075214171413,-0.4024144869215207,-0.40322635279381736
2007-02-02,9.92,9.68,10.03,9.52,35599321.0,342637876.0,46.98953736366008,51.839657206490465,27.592000878159713,,0.1826363636363677,,1.030456852791878,0.93502538071066,,6.206698548226974,-42.07781645077582,0.2945000000000011,56.00000000000001,4.0,11.167012033223212,8.943987966776785,10.055499999999999,0.14254326132141235,-2.2222222222222254,-2.2472855852058604
2007-02-05,9.59,9.35,9.76,9.32,25070102.0,234981504.0,42.43903119231859,45.40688237512428,21.99408784885509,,-0.01260869565217071,,0.9672995780590716,1.0358649789029535,,7.1364970225398,-83.76732927455464,0.9135000000000026,56.00000000000001,4.0,11.16543236944369,8.947567630556305,10.056499999999998,0.0840176881057428,-3.409090909090906,-3.468555798789019
2007-02-06,9.36,9.17,9.36,8.81,50320964.0,450321225.0,40.15480399866975,45.50863038514921,16.697654267131686,,-0.22674999999999557,,0.9280343716433942,1.0537056928034372,,8.06661262570106,-132.90191143867213,0.924000000000003,56.00000000000001,4.0,11.183952547341056,8.90804745265894,10.045999999999998,0.06333328856839346,-1.9251336898395643,-1.9439057032222262
2007-02-07,9.24,9.52,9.52,9.18,38809382.0,362114335.0,46.216612486221614,41.289973327121096,13.846880433742465,,-0.38379999999999725,,0.9294797687861273,1.1063583815028901,,8.943931304966405,-87.37510713489036,0.9425000000000026,56.00000000000001,4.0,11.188427886533296,8.8865721134667,10.037499999999998,0.08980718985623973,3.8167938931297662,3.7457562534900735
2007-02-08,9.52,9.47,9.54,9.22,23150668.0,217506694.0,45.50745593649089,38.07124822365768,11.366421462943448,,-0.46288461538461334,,0.8421686746987953,1.157831325301205,,9.78226313795402,-82.19927511454594,0.7015000000000029,52.0,4.0,11.194129014738394,8.862870985261601,10.028499999999998,0.1348093492638573,-0.5252100840336005,-0.526594160528715
2007-02-09,9.54,9.45,9.7,9.34,26146977.0,250408417.0,45.20863564597497,32.75868676170845,9.283954995655701,,-0.5030370370370356,,0.7801242236024845,1.2086956521739134,,10.608892302334095,-73.1086873192324,-0.043499999999998096,48.0,20.0,11.170607359571394,8.916392640428603,10.043499999999998,0.14576780269228218,-0.21119324181627652,-0.2114165692335579
2007-02-12,9.47,9.85,9.92,9.47,18440555.0,179919470.0,51.997622304125514,38.541797949873505,9.209593133310994,,-0.4333928571428558,,0.8382541720154043,1.1489088575096276,,11.459447888617584,-42.313524442198144,0.11000000000000298,44.0,16.0,11.165422995961272,8.954577004038722,10.059999999999997,0.12813214192159228,4.232804232804233,4.145671367834636
2007-02-13,9.84,10.2,10.26,9.84,16895702.0,171324417.0,57.01630069713602,45.30826740378706,10.54288340755404,59.55080646480511,-0.24889655172413683,,0.8990944372574383,1.0685640362225097,,12.322104658870117,7.418181818181322,0.5805000000000042,40.0,12.0,11.176305764350726,8.962694235649266,10.069499999999996,0.12356795644993625,3.5532994923857864,3.4916265106227584
2007-02-14,10.21,10.64,10.95,10.14,24526942.0,261026222.0,62.346046688584444,52.80101442861777,13.290159461870438,65.22931858464518,-0.02066666666666528,,1.0153846153846153,0.9564102564102565,,13.3192838414709,69.69478490747375,0.19500000000000384,36.0,8.0,11.236953653231717,8.993046346768276,10.114999999999997,0.12438947073037279,4.313725490196085,4.223276362327333
2007-02-15,10.76,10.92,11.08,10.66,34913272.0,381841523.0,65.29510584691846,62.105610177988375,16.46382002269936,64.1325996455441,0.24667741935484067,,1.1546666666666667,0.8746666666666664,,14.284344541758337,101.90284307141252,-0.20349999999999646,32.0,4.0,11.31571627697281,8.971283723027183,10.143499999999996,0.09165520616488768,2.631578947368407,2.597548640326064
2007-02-16,10.94,10.83,11.02,10.67,21941469.0,238484557.0,63.57162918148632,53.3840131936928,18.500792995284332,58.9084947283928,0.4893437500000015,,1.117142857142857,0.94,,15.207431870565642,94.71341124095663,-0.23649999999999594,28.000000000000004,68.0,11.290419841236815,8.982580158763177,10.136499999999996,0.03271052397513547,-0.8241758241758212,-0.8275909303860018
2007-02-26,10.92,11.2,11.25,10.52,29799223.0,325007437.0,67.3832474072965,53.68479589502905,21.392082607800187,63.62520645843443,0.7225757575757576,,1.0273972602739725,0.917808219178082,,16.225375800851488,117.76420004525879,-0.4679999999999964,100.0,64.0,11.338908896599566,8.957091103400426,10.147999999999996,0.15820288688389686,3.416435826408115,3.3593717288149527
2007-02-27,11.26,10.09,11.47,10.08,53042015.0,582008666.0,50.35944647696447,51.522513234652656,18.04718016415964,51.808598567644516,0.8129411764705896,0.09183126338158562,1.0343007915567282,0.9155672823218997,,17.489022080327906,62.616272224184335,-0.7534999999999972,96.0,60.0,11.231582887025592,8.975417112974402,10.103499999999997,0.06354897236359916,-9.910714285714285,-10.436894393553109
2007-02-28,10.16,10.87,10.94,10.16,55736610.0,588626010.0,58.32685644128119,59.84403290119616,18.124142747905648,55.537470764623286,0.7842058823529445,0.09514272414690034,1.0475594493116394,0.8798498122653314,,18.710558859396066,79.03340440653834,-0.9404999999999983,92.0,56.00000000000001,11.255654574719063,8.965345425280933,10.110499999999998,0.12230766285632906,7.730426164519311,7.446186676760025
2007-03-01,10.9,10.94,11.32,10.5,41532443.0,453939266.0,58.963417194154104,68.15389017190728,18.397382548821593,54.243928948088794,0.7500588235294128,0.09516413350473735,1.1036144578313254,0.8301204819277105,,19.906476871745788,103.57890100209211,-0.6374999999999975,88.0,52.0,11.356547538673924,8.95845246132607,10.157499999999997,0.18231365400441704,0.6439742410303539,0.6419095860717317
2007-03-02,11.0,11.5,11.71,11.0,48043157.0,550129505.0,63.73581064142268,74.8819557987909,20.27446715592001,56.27053493331789,0.8200294117647076,0.12417603702601437,1.1738122827346464,0.7531865585168015,,21.051077576053917,144.22631631933936,-0.7539999999999978,100.0,48.0,11.558337288694279,8.889662711305718,10.223999999999998,0.15178398806501137,5.118829981718465,4.99212383753691
2007-03-05,11.43,11.03,11.65,10.62,33925851.0,379799924.0,57.67352921002838,76.13077365724676,19.659798532729837,53.53695909462022,0.7859705882352976,0.10382255268844162,1.178924259055982,0.7288693743139404,,22.233112950113778,96.72425186443863,-0.7929999999999993,96.0,44.0,11.611445833783712,8.874554166216285,10.242999999999999,0.06881555935477379,-4.086956521739138,-4.172820210379324
2007-03-06,10.97,10.8,11.2,10.57,25762225.0,277197403.0,54.920554903960046,69.92124650106663,18.24250349816732,51.76206297144502,0.7942352941176516,0.06867436960646234,1.1299254526091587,0.8029818956336526,,23.33753984897878,64.37158469945358,-0.41749999999999865,92.0,40.0,11.657246379739842,8.877753620260155,10.267499999999998,0.0942796471838525,-2.0852221214868405,-2.1072699135237016
2007-03-07,10.82,10.92,11.02,10.71,20315339.0,220822774.0,56.09801944292989,69.94146720755286,17.49338634513411,48.91602387025516,0.7729705882352977,0.04827534136566375,1.1407249466950957,0.8240938166311298,,24.31649224692506,61.14792608954804,-0.1164999999999985,88.0,36.0,11.72557451896626,8.907425481033735,10.316499999999998,0.14961675711899192,1.1111111111111072,1.1049836186585171
2007-03-08,10.92,10.73,10.97,10.6,20858834.0,223692207.0,53.706082175170785,65.12609625802827,16.14334396845629,56.127106062530856,0.6757941176470599,0.018296643357338827,1.116080937167199,0.8466453674121402,,25.227758952831362,44.694715965434064,0.2820000000000036,84.0,32.0,11.764450852322966,8.951549147677028,10.357999999999997,0.1368298658742816,-1.7399267399267337,-1.7552413674152056
2007-03-09,10.74,10.43,10.8,10.43,25254359.0,266159954.0,50.07547180512511,60.30335335314581,13.888923519017741,48.17252368421278,0.4461764705882363,-0.023176517956369158,1.0871905274488696,0.8891280947255112,,25.06361193201854,18.67554734652353,0.5245000000000033,80.0,28.000000000000004,11.767206601281774,9.023793398718219,10.395499999999997,0.1201606791369021,-2.7958993476234872,-2.8357287629926287
2007-03-12,10.45,10.57,10.65,10.38,16746054.0,175945201.0,51.71588009679202,56.753301968210174,12.514801791405429,47.986864251134584,0.2863529411764709,-0.04154749848559225,1.0426695842450766,0.9409190371991246,,24.802179686810067,11.685728493286856,0.3735000000000035,76.0,24.0,11.742645792668933,9.17035420733106,10.456499999999997,0.16723178773603448,1.342281879194629,1.3333530869465537
