,open,close,high,low,volume,money,RSI,MFI,TSI,UO,AO,MACDDI,VIP,VIN,TRIX,MI,CCI,DPO,ARU,ARD,BBH,BBL,BBM,CMF,DR,DLR
2007-05-08,4.87,4.94,4.98,4.78,8494447.0,41500103.0,100.0,,,,0.0,,,,,0.0,,10.842568129330253,4.0,4.0,4.94,4.94,4.94,0.6,-68.69964406604065,
2007-05-09,4.9,5.0,5.08,4.79,11089517.0,55190712.0,100.0,,100.0,,0.0,,,,,0.0,66.66666666666562,10.812568129330254,8.0,4.0,5.03,4.910000000000001,4.970000000000001,0.5140854524193081,1.2145748987854255,1.207258123426902
2007-05-10,5.0,5.05,5.18,4.95,14118408.0,71718038.0,100.0,,100.0,,0.0,,,,,0.0,100.00000000000051,10.785901462663588,12.0,4.0,5.086604917088213,4.906728416245121,4.996666666666667,0.24408666294593614,1.0000000000000009,0.9950330853168099
2007-05-11,5.07,5.19,5.25,5.0,13965577.0,71804742.0,100.0,,100.0,,0.0,,,,,0.0,99.68253968254005,10.737568129330253,16.0,4.0,5.229661853126195,4.860338146873807,5.045000000000001,0.3249227180897294,2.7722772277227747,2.7345453890528892
2007-05-14,5.15,5.12,5.19,5.06,10048501.0,51468471.0,75.95754268262147,,97.49491729709322,,0.0,,,,,0.0,65.74923547400594,10.722568129330254,16.0,4.0,5.235727061091911,4.88427293890809,5.0600000000000005,0.2549608983133579,-1.3487475915221592,-1.3579258126380944
2007-05-15,5.14,4.84,5.15,4.81,9876960.0,49027748.0,37.313195638724736,,86.19011147379953,,0.02416666666666689,,,,,0.0,-64.1975308641978,10.759234795996921,16.0,24.0,5.2527286737878045,4.793937992878864,5.023333333333334,0.09736852868696054,-5.46875,-5.6239718322876
2007-05-16,4.84,4.88,4.92,4.7,6914563.0,33278348.0,41.86359859076321,,78.01896042163288,,0.02200000000000024,,,,,0.0,-106.66666666666734,10.77971098647311,16.0,24.0,5.237734444737882,4.767979840976405,5.002857142857144,0.1473888886385345,0.8264462809917328,0.8230499136515412
2007-05-17,4.88,4.93,4.97,4.87,7571459.0,37270669.0,47.038788951991556,,72.07044824589912,,0.0021250000000003766,,,,,0.0,-43.41085271317913,10.788818129330254,16.0,24.0,5.218680544835512,4.768819455164489,4.99375,0.15224202739585124,1.0245901639344135,1.0193768189542984
2007-05-18,4.94,4.84,4.94,4.81,7150360.0,34688457.0,40.11638195666081,,65.10579444116699,,-0.04699999999999971,,,,,0.0,-77.60000000000089,10.805901462663588,16.0,24.0,5.209714110572648,4.743619222760687,4.9766666666666675,0.09689303421245306,-1.8255578093306246,-1.8424267326058397
2007-05-21,4.69,4.88,4.93,4.66,7411520.0,35864443.0,44.056869238362964,,59.98655897286663,,-0.08499999999999908,,,,,0.0,-96.09826589595454,10.815568129330254,16.0,24.0,5.195569464277274,4.738430535722727,4.9670000000000005,0.1377491427436195,0.8264462809917328,0.8230499136515412
