,open,close,high,low,volume,money,RSI,MFI,TSI,UO,AO,MACDDI,VIP,VIN,TRIX,MI,CCI,DPO,ARU,ARD,BBH,BBL,BBM,CMF,DR,DLR
2010-05-28,3.7,3.89,3.94,3.65,717993756.0,2723697152.0,100.0,,,,0.0,,,,,0.0,,4.222656350741454,4.0,4.0,3.89,3.89,3.89,0.6551724137931048,-52.050230752785744,
2010-05-31,4.08,4.04,4.17,3.97,362759600.0,1471291648.0,100.0,,100.0,,0.0,,,,,0.0,66.66666666666654,4.147656350741455,8.0,4.0,4.115,3.815,3.965,0.3345646073634744,3.8560411311054033,3.7835534342703703
2010-06-01,4.08,4.14,4.18,4.0,231510062.0,945440192.0,100.0,,100.0,,0.0,,,,,0.0,63.63636363636377,4.089323017408121,12.0,4.0,4.2288138000989655,3.817852866567701,4.023333333333333,0.3735519230316669,2.4752475247524774,2.4451095864164163
2010-06-02,4.01,4.09,4.1,3.9,199958586.0,800740032.0,81.63074039362702,,99.25711253520552,,0.0,,,,,0.0,17.984496124031192,4.072656350741455,12.0,4.0,4.227082869338697,3.8529171306613033,4.04,0.4431632716263587,-1.207729468599028,-1.215081778251248
2010-06-03,4.08,3.88,4.12,3.85,159198532.0,635491840.0,44.5861126642988,,95.54150122472726,,0.0,,,,,0.0,-35.00522466039641,4.104656350741455,12.0,20.0,4.218675105316219,3.797324894683781,4.008,0.3268717587861227,-5.134474327628357,-5.270981641952832
2010-06-04,3.8,3.85,3.94,3.8,107130941.0,412869120.0,41.6764110477215,,92.1141400270147,,0.022666666666666835,,,,,0.0,-78.64271457085826,4.1309896840747875,12.0,24.0,4.207178430341105,3.756154902992229,3.981666666666667,0.2899726753243982,-0.773195876288657,-0.7762005335489208
2010-06-07,3.72,3.85,3.92,3.72,98477413.0,377475872.0,41.67641104772151,,89.31389034103707,,-0.0008571428571428896,,,,,0.0,-84.104721832632,4.149799207884312,12.0,24.0,4.191071149116753,3.7346431365975334,3.962857142857143,0.29049875406438197,0.0,0.0
2010-06-08,3.83,3.77,3.91,3.68,116112424.0,437974176.0,34.677442987239786,,85.81232668865371,,-0.043874999999999886,,,,,0.0,-92.06349206349176,4.173906350741454,12.0,32.0,4.187434036480028,3.6900659635199724,3.93875,0.2609111149975901,-2.0779220779220786,-2.0998146839773524
2010-06-09,3.76,3.86,3.91,3.73,94666872.0,362423040.0,45.721079554108364,,83.0236470947409,,-0.07455555555555504,,,,,0.0,-56.54952076677269,4.182656350741454,12.0,32.0,4.169629343408153,3.6903706565918486,3.9300000000000006,0.2692330127288978,2.3872679045092715,2.359218201682012
2010-06-10,3.82,3.97,4.0,3.81,76208424.0,299970080.0,55.60106567978801,,80.87875206140512,,-0.07849999999999957,,,,,0.0,3.8095238095243387,4.178656350741455,12.0,32.0,4.162595712995673,3.7054042870043276,3.934,0.28384694044080006,2.849740932642497,2.8098911222359746
